customer_age,job_type,marital,education,default,balance,housing_loan,personal_loan,communication_type,day_of_month,month,last_contact_duration,num_contacts_in_campaign,prev_campaign_outcome,term_deposit_subscribed
32.0,4,1,1,0,4136.0,1,0,0,12,8,94.0,4.0,3,0
49.0,1,1,1,0,74.0,1,0,0,11,8,182.0,1.0,0,0
30.0,0,2,1,0,390.0,1,0,2,8,8,67.0,1.0,3,0
61.0,9,0,1,0,2738.0,0,0,0,3,3,210.0,2.0,3,0
40.0,1,2,0,0,3380.0,1,0,1,20,9,46.0,1.0,3,0
32.0,9,0,1,0,-5.0,0,0,0,29,4,131.0,2.0,1,0
30.0,4,2,2,0,39.0,1,0,0,15,8,900.0,3.0,1,1
27.0,2,2,2,0,218.0,1,0,0,18,8,67.0,2.0,0,0
41.0,4,1,1,0,-8020.0,1,0,2,13,8,76.0,1.0,3,0
41.0,9,2,2,0,-93.0,1,0,0,3,3,186.0,4.0,0,0
28.0,1,1,1,0,1783.0,1,0,2,5,6,78.0,2.0,3,0
31.0,4,1,2,0,184.0,0,0,0,5,3,131.0,1.0,3,0
47.0,4,1,2,0,4113.0,0,0,0,18,1,128.0,13.0,3,0
37.0,4,1,2,0,88.0,1,0,2,19,8,149.0,10.0,3,0
50.0,3,1,0,0,5141.0,0,0,2,9,6,182.0,1.0,3,0
38.0,4,1,2,0,52.0,0,0,2,30,8,120.0,3.0,3,0
45.0,9,2,2,0,3428.0,1,0,0,25,5,72.0,30.0,3,0
55.0,1,1,1,0,70.0,1,0,2,5,8,618.0,2.0,3,0
39.0,1,2,1,0,164.0,1,0,0,20,0,209.0,1.0,0,0
35.0,7,1,1,0,0.0,1,0,0,12,6,110.0,4.0,0,0
34.0,0,2,1,0,1069.0,0,0,0,20,9,264.0,2.0,3,0
31.0,0,2,2,0,699.0,1,0,0,18,8,74.0,2.0,3,0
55.0,11,1,0,0,10.0,0,0,1,19,10,258.0,2.0,3,0
49.0,9,1,1,0,174.0,1,2,0,8,5,193.0,1.0,3,0
40.0,7,1,1,0,0.0,1,0,0,31,5,25.0,20.0,3,0
58.0,1,2,1,0,1187.0,1,0,0,5,3,28.0,2.0,3,0
39.0,4,1,2,0,46.0,0,2,0,22,1,139.0,1.0,3,0
40.0,5,0,0,0,5800.0,0,0,0,13,1,104.0,5.0,3,0
36.0,0,2,1,0,143.0,0,0,0,11,5,165.0,2.0,3,0
30.0,9,1,3,0,-1.0,0,0,2,8,8,179.0,2.0,3,0
34.0,9,1,2,0,198.0,0,0,0,1,10,255.0,1.0,0,0
51.0,4,1,2,0,1886.0,0,0,0,18,9,236.0,3.0,3,0
26.0,9,2,1,0,249.0,0,0,0,29,4,716.0,2.0,3,0
30.0,7,1,1,0,412.0,1,0,2,7,8,214.0,1.0,3,0
56.0,4,0,2,0,155.0,0,0,0,13,1,312.0,2.0,3,0
55.0,4,2,2,0,1100.0,0,0,1,18,1,202.0,2.0,3,0
29.0,4,2,2,0,878.0,1,0,0,16,7,245.0,1.0,2,1
38.0,4,1,2,0,729.0,0,0,0,26,1,165.0,13.0,3,0
56.0,4,1,2,0,4608.0,0,0,1,1,11,208.0,2.0,0,0
44.0,9,1,2,0,-2.0,0,0,0,3,3,137.0,1.0,3,0
33.0,0,1,1,0,114.0,1,0,1,4,3,198.0,1.0,3,0
42.0,1,1,0,0,163.0,1,0,2,29,8,59.0,6.0,3,0
34.0,2,1,1,0,3115.0,1,0,0,20,9,506.0,1.0,0,0
58.0,0,1,1,0,304.0,0,2,0,8,5,235.0,2.0,3,0
49.0,7,1,1,0,195.0,1,2,2,12,8,290.0,6.0,3,0
40.0,9,0,1,0,1335.0,1,2,0,29,4,566.0,2.0,0,0
41.0,0,0,2,0,995.0,1,0,0,13,8,434.0,3.0,3,0
38.0,4,0,2,0,4569.0,1,2,0,16,5,99.0,1.0,3,0
32.0,7,2,1,0,292.0,1,0,0,12,8,259.0,2.0,3,0
37.0,4,2,2,0,2806.0,1,0,2,19,6,213.0,12.0,3,0
33.0,4,2,2,0,-2.0,0,0,0,19,1,167.0,4.0,3,0
41.0,4,1,2,0,104.0,1,0,2,6,8,1513.0,2.0,3,0
45.0,0,0,1,0,1112.0,1,0,2,15,8,425.0,1.0,3,0
38.0,9,1,1,0,196.0,1,0,2,8,8,366.0,2.0,3,0
46.0,1,1,3,0,388.0,0,0,2,6,6,354.0,4.0,3,0
32.0,4,1,2,0,0.0,0,0,0,22,1,206.0,4.0,3,0
27.0,6,1,2,0,1934.0,0,0,0,20,9,60.0,1.0,3,0
29.0,1,1,0,0,198.0,1,0,2,30,8,327.0,2.0,3,0
42.0,1,1,0,0,1.0,0,0,2,9,6,169.0,1.0,3,0
45.0,1,1,0,0,681.0,1,0,2,15,8,384.0,4.0,3,0
48.0,7,2,1,0,518.0,1,0,0,13,8,358.0,1.0,0,0
27.0,0,2,1,0,68.0,1,0,0,14,8,450.0,1.0,0,0
60.0,10,1,2,0,2.0,1,0,0,9,5,255.0,1.0,3,0
53.0,0,1,3,0,214.0,0,0,1,17,9,116.0,2.0,3,0
41.0,7,1,1,0,-272.0,1,0,0,28,5,141.0,10.0,3,0
36.0,0,1,1,0,18.0,1,2,0,13,10,102.0,1.0,3,0
47.0,7,0,1,0,204.0,1,0,2,6,8,73.0,2.0,3,0
24.0,0,1,1,0,969.0,1,0,2,4,6,179.0,1.0,3,0
62.0,0,1,1,0,-8020.0,0,0,0,22,2,170.0,1.0,2,1
35.0,6,1,1,0,29122.0,0,0,2,18,6,331.0,2.0,3,0
33.0,4,1,2,0,444.0,0,0,0,18,6,238.0,3.0,3,1
31.0,4,1,2,0,5879.0,0,0,0,23,10,450.0,1.0,0,1
48.0,1,2,1,0,2609.0,1,0,2,14,8,418.0,2.0,3,0
55.0,2,1,2,0,1956.0,0,0,0,15,2,337.0,1.0,3,1
48.0,9,1,1,0,142.0,0,0,0,22,1,128.0,2.0,3,0
29.0,9,1,1,0,341.0,1,2,0,14,8,58.0,11.0,3,0
36.0,4,1,2,0,49.0,0,0,0,29,1,59.0,4.0,3,0
36.0,4,1,2,0,2123.0,1,0,0,21,5,231.0,3.0,3,0
36.0,9,1,1,0,5116.0,1,0,2,30,8,41.0,4.0,3,0
44.0,0,1,1,0,-2.0,0,0,2,26,8,76.0,3.0,3,0
52.0,9,1,1,0,195.0,1,0,0,17,2,113.0,2.0,0,0
43.0,10,2,0,0,213.0,0,0,0,5,6,573.0,3.0,3,1
53.0,7,0,0,0,2298.0,1,0,2,6,8,158.0,2.0,3,0
34.0,1,1,1,0,289.0,1,0,2,6,6,177.0,2.0,3,0
45.0,7,1,1,0,6909.0,0,0,2,12,6,779.0,2.0,3,0
34.0,0,2,2,0,1535.0,1,0,0,15,8,45.0,1.0,0,0
32.0,9,1,1,0,157.0,1,2,0,14,5,114.0,2.0,3,0
45.0,9,1,2,0,1798.0,0,0,0,28,4,367.0,2.0,3,0
31.0,7,2,1,0,1.0,0,0,0,29,4,95.0,1.0,3,0
29.0,1,1,0,0,342.0,0,0,1,20,9,12.0,1.0,3,0
35.0,1,2,1,0,7124.0,0,0,2,20,6,22.0,17.0,3,0
44.0,7,1,1,0,6348.0,1,0,0,11,8,44.0,1.0,3,0
47.0,0,1,1,0,14442.0,1,0,0,21,9,76.0,1.0,3,0
47.0,1,1,3,0,3111.0,0,0,0,6,1,187.0,2.0,3,0
44.0,2,1,1,0,1.0,0,0,2,5,6,1444.0,1.0,3,1
31.0,9,2,1,0,141.0,0,0,0,20,9,312.0,4.0,3,0
32.0,0,2,1,0,16.0,1,0,0,18,9,1961.0,1.0,3,1
35.0,7,2,1,0,774.0,1,0,0,3,3,227.0,2.0,0,0
33.0,1,1,1,0,1789.0,1,0,0,16,0,371.0,2.0,3,0
37.0,9,1,2,0,-361.0,0,0,0,26,1,98.0,2.0,3,0
39.0,4,2,2,0,102.0,1,0,0,8,8,342.0,1.0,3,0
29.0,1,0,1,0,247.0,1,2,2,7,8,137.0,2.0,3,0
38.0,4,1,1,0,1958.0,0,0,0,4,8,119.0,6.0,1,0
31.0,1,0,1,0,876.0,1,2,0,29,4,265.0,3.0,0,0
31.0,1,1,1,0,76.0,1,2,0,22,5,282.0,1.0,3,0
49.0,0,1,1,0,208.0,0,0,2,17,8,10.0,1.0,3,0
21.0,8,2,1,0,4127.0,0,0,0,5,0,916.0,4.0,0,1
45.0,4,0,2,0,6568.0,1,0,0,17,9,40.0,2.0,3,0
32.0,4,1,2,0,1331.0,0,0,0,3,3,199.0,2.0,2,1
32.0,0,1,1,0,1161.0,1,0,0,20,0,40.0,2.0,3,0
56.0,0,1,3,0,0.0,1,0,0,17,9,206.0,1.0,0,0
48.0,9,1,1,0,1941.0,1,2,0,6,1,175.0,2.0,3,0
46.0,6,1,1,0,1563.0,0,0,0,24,2,532.0,3.0,0,0
39.0,7,1,1,0,200.0,0,0,0,30,4,224.0,2.0,3,0
46.0,4,1,2,0,509.0,0,0,0,23,0,226.0,2.0,3,1
45.0,4,1,2,0,0.0,0,0,0,16,6,93.0,2.0,3,0
45.0,4,0,2,0,542.0,1,0,0,14,8,67.0,1.0,1,0
53.0,1,1,0,0,105.0,1,0,2,27,8,122.0,2.0,3,0
28.0,0,1,1,0,-362.0,1,2,2,3,6,102.0,1.0,3,0
37.0,9,1,1,0,6387.0,1,2,0,18,9,81.0,1.0,3,0
29.0,9,2,1,0,-5.0,1,0,0,6,8,192.0,1.0,3,0
35.0,1,1,0,0,3150.0,1,0,2,16,6,248.0,3.0,3,0
61.0,0,1,1,0,3739.0,0,0,0,22,11,178.0,1.0,2,1
41.0,1,1,0,0,571.0,0,0,0,2,3,256.0,1.0,3,0
57.0,0,1,1,0,368.0,0,0,0,26,1,128.0,12.0,3,0
57.0,3,0,0,1,1234.0,0,0,2,5,6,1551.0,1.0,3,1
29.0,9,2,1,0,196.0,0,0,0,6,1,319.0,2.0,3,0
49.0,0,1,1,0,424.0,1,2,0,20,10,132.0,2.0,0,0
40.0,4,2,1,0,110.0,1,0,1,27,1,23.0,9.0,3,0
61.0,5,1,1,0,602.0,1,0,0,7,8,38.0,1.0,3,0
26.0,4,1,2,0,122.0,1,0,0,18,8,705.0,2.0,3,0
30.0,9,2,1,0,2391.0,0,0,0,5,1,115.0,1.0,3,0
31.0,4,1,2,0,2732.0,1,2,2,23,8,49.0,1.0,3,0
40.0,7,1,1,0,434.0,1,0,0,15,8,426.0,6.0,1,0
24.0,1,2,1,0,2355.0,0,2,2,27,8,113.0,1.0,3,0
33.0,4,2,2,0,111.0,1,0,0,15,5,78.0,2.0,3,0
32.0,4,2,2,0,3772.0,1,0,0,9,3,67.0,4.0,0,0
59.0,9,1,1,0,134.0,1,0,1,16,9,436.0,13.0,1,0
31.0,1,2,1,0,1033.0,1,2,0,16,0,335.0,2.0,0,0
39.0,9,1,1,0,1629.0,1,0,2,19,8,215.0,3.0,3,0
53.0,7,1,1,0,529.0,1,0,0,29,5,124.0,2.0,3,0
31.0,4,2,2,0,37.0,0,0,0,19,1,174.0,2.0,3,0
57.0,6,0,1,0,152.0,0,0,2,17,6,830.0,3.0,3,0
30.0,1,2,1,0,2741.0,0,0,0,28,4,448.0,1.0,3,0
35.0,4,1,2,0,212.0,1,0,2,21,8,1294.0,1.0,3,0
35.0,1,1,1,0,2693.0,1,0,0,20,0,442.0,1.0,3,0
36.0,9,1,1,0,2200.0,0,0,1,12,0,368.0,1.0,3,1
47.0,2,1,1,0,7902.0,1,2,0,22,1,381.0,2.0,3,0
35.0,1,1,1,0,177.0,1,0,2,15,8,373.0,2.0,3,0
47.0,4,1,2,0,267.0,1,0,0,15,5,92.0,2.0,3,0
29.0,4,1,2,0,2.0,1,0,2,23,8,205.0,1.0,3,0
47.0,4,1,1,0,-2.0,1,0,2,14,8,80.0,4.0,3,0
33.0,9,2,1,1,-483.0,1,0,0,17,0,1065.0,1.0,3,1
54.0,6,1,2,0,544.0,0,0,1,6,3,56.0,5.0,3,0
48.0,4,2,2,0,34.0,0,2,2,3,5,173.0,1.0,3,0
52.0,4,0,2,0,2910.0,1,0,2,30,8,94.0,1.0,3,0
26.0,4,1,2,0,245.0,1,0,0,31,7,354.0,2.0,1,0
36.0,4,1,2,0,289.0,0,2,0,5,1,139.0,1.0,3,0
31.0,2,1,2,0,280.0,1,0,1,20,0,37.0,5.0,0,0
33.0,4,1,2,0,3297.0,1,0,0,17,6,471.0,2.0,0,1
54.0,9,1,1,0,2312.0,1,0,0,8,8,283.0,3.0,0,0
33.0,1,1,2,0,11.0,1,0,2,18,6,128.0,3.0,3,0
28.0,0,2,1,0,-136.0,0,0,0,18,5,106.0,1.0,3,0
52.0,1,1,0,0,1014.0,1,0,0,20,0,78.0,1.0,3,0
34.0,6,0,2,0,1356.0,1,0,0,14,8,1738.0,1.0,2,1
42.0,9,1,1,0,274.0,0,0,0,25,1,63.0,6.0,3,0
26.0,4,2,2,0,125.0,0,2,0,8,5,177.0,1.0,3,0
37.0,4,1,2,0,413.0,1,0,0,7,0,159.0,1.0,3,0
26.0,7,2,1,0,451.0,0,0,0,19,0,129.0,2.0,3,1
31.0,9,1,1,0,1094.0,1,0,2,2,6,108.0,3.0,3,0
51.0,4,1,2,0,915.0,1,0,2,9,8,246.0,4.0,3,0
28.0,4,1,2,0,476.0,1,0,0,21,9,68.0,5.0,3,0
29.0,1,2,1,0,901.0,1,2,2,21,8,209.0,7.0,3,0
41.0,9,0,1,0,2179.0,0,0,0,28,1,188.0,10.0,3,0
35.0,8,2,3,0,39.0,1,0,2,29,8,707.0,1.0,3,0
30.0,4,1,2,0,352.0,1,0,0,8,0,73.0,2.0,1,0
23.0,8,2,1,0,1745.0,0,0,0,21,1,504.0,2.0,3,0
62.0,5,0,1,0,1096.0,0,0,0,11,5,756.0,2.0,3,1
44.0,0,1,1,0,-1093.0,1,2,0,31,5,149.0,4.0,3,0
45.0,10,1,1,0,1035.0,0,0,1,26,8,136.0,5.0,3,0
37.0,1,1,0,0,-1.0,0,0,2,20,6,612.0,4.0,3,0
36.0,9,2,1,0,25.0,1,0,0,18,8,75.0,2.0,0,0
48.0,1,1,0,0,7096.0,0,0,0,6,1,1461.0,7.0,3,1
33.0,4,2,1,0,356.0,1,0,2,20,8,285.0,1.0,3,0
37.0,4,1,2,0,2374.0,1,2,0,20,5,183.0,2.0,1,0
29.0,9,1,1,0,27.0,0,0,0,21,1,166.0,2.0,3,0
32.0,4,2,2,0,1717.0,1,0,2,21,8,288.0,2.0,3,0
32.0,1,1,1,0,-661.0,1,2,2,28,8,41.0,2.0,3,0
39.0,10,2,1,0,358.0,1,0,0,4,8,234.0,2.0,0,0
27.0,0,1,1,0,-2.0,1,2,0,26,8,83.0,1.0,3,0
20.0,1,2,0,0,3201.0,1,0,0,15,8,179.0,1.0,0,0
32.0,7,1,1,0,1804.0,1,0,1,6,3,129.0,1.0,0,0
29.0,7,2,1,0,1.0,1,0,0,18,8,127.0,6.0,0,0
32.0,9,1,2,0,4658.0,1,2,0,15,5,149.0,2.0,3,0
42.0,4,2,2,0,265.0,1,0,0,31,5,83.0,5.0,3,0
39.0,7,1,2,0,-123.0,1,0,2,21,8,286.0,1.0,3,0
61.0,5,1,2,0,-5.0,0,0,0,25,1,106.0,3.0,3,0
52.0,4,1,1,0,428.0,1,0,2,30,8,147.0,1.0,3,0
38.0,0,2,1,0,1061.0,1,0,2,28,8,78.0,4.0,3,0
33.0,9,2,1,0,-56.0,1,0,2,30,8,57.0,2.0,3,0
39.0,9,1,1,0,-3.0,1,2,0,21,9,97.0,1.0,3,0
50.0,5,0,0,0,662.0,1,0,0,15,8,3.0,5.0,3,0
41.0,1,0,3,0,536.0,0,0,2,16,8,157.0,2.0,3,0
42.0,4,1,2,0,979.0,0,0,0,19,1,158.0,1.0,3,0
44.0,1,1,1,0,7890.0,1,0,0,4,3,889.0,1.0,3,1
39.0,1,1,0,0,2521.0,1,0,2,15,8,258.0,4.0,3,0
42.0,4,1,1,0,108.0,0,0,2,17,6,667.0,2.0,3,1
51.0,2,1,0,0,3339.0,1,2,2,16,8,216.0,1.0,3,0
46.0,1,1,1,0,1094.0,1,2,0,6,3,178.0,2.0,3,0
60.0,4,0,2,0,5697.0,0,0,0,30,0,370.0,1.0,2,1
32.0,1,1,1,0,717.0,1,0,2,8,8,25.0,1.0,3,0
60.0,7,1,1,0,293.0,0,2,0,22,5,245.0,4.0,3,0
41.0,7,2,1,0,2.0,0,0,2,20,6,209.0,2.0,3,0
44.0,10,1,3,0,189.0,0,0,0,11,1,692.0,2.0,3,1
78.0,5,1,1,0,8303.0,0,0,1,9,6,730.0,1.0,0,1
42.0,1,1,0,0,1068.0,0,0,0,30,5,40.0,2.0,3,0
38.0,9,1,1,0,0.0,0,0,0,11,7,82.0,1.0,3,0
33.0,6,2,2,0,9958.0,0,0,0,20,1,460.0,1.0,3,1
34.0,1,1,1,0,3879.0,1,0,0,20,0,9.0,5.0,3,0
39.0,1,1,2,0,1988.0,1,0,0,20,0,114.0,2.0,3,0
54.0,5,0,1,0,-57.0,0,2,0,15,5,353.0,10.0,3,0
38.0,4,1,2,0,385.0,0,0,2,28,8,193.0,2.0,3,0
45.0,1,1,0,0,296.0,1,0,0,29,1,969.0,4.0,3,0
53.0,0,1,1,0,-1601.0,0,2,0,13,8,100.0,2.0,3,0
50.0,4,1,2,0,5793.0,0,0,0,19,9,642.0,1.0,3,0
39.0,6,1,1,0,308.0,1,0,2,20,8,716.0,2.0,3,0
42.0,7,1,1,0,54.0,1,0,1,13,8,20.0,9.0,3,0
61.0,5,1,1,0,3.0,0,0,1,31,5,566.0,20.0,3,0
39.0,7,0,1,0,5767.0,1,2,2,28,8,404.0,1.0,3,0
44.0,0,1,1,0,821.0,1,0,2,30,8,146.0,2.0,3,0
45.0,1,0,0,0,4.0,0,2,2,4,5,388.0,1.0,3,0
29.0,6,2,0,0,162.0,0,0,0,9,3,211.0,3.0,3,0
31.0,1,2,1,0,565.0,1,0,0,7,8,280.0,2.0,1,0
64.0,11,1,3,0,2795.0,0,0,1,9,11,375.0,4.0,3,0
51.0,4,0,2,0,-808.0,1,0,0,7,1,135.0,3.0,3,0
30.0,0,1,1,0,410.0,1,0,0,20,0,83.0,3.0,0,0
26.0,0,1,1,0,319.0,1,0,0,15,5,681.0,2.0,3,0
51.0,1,1,1,0,736.0,0,2,2,12,6,129.0,1.0,3,0
33.0,9,2,1,0,-414.0,1,0,2,28,8,102.0,1.0,3,0
56.0,1,1,0,0,-544.0,0,0,0,25,1,1170.0,6.0,3,1
49.0,10,1,0,0,129.0,1,0,0,19,9,172.0,2.0,3,0
42.0,5,1,0,0,208.0,0,0,2,12,8,251.0,1.0,3,0
52.0,2,1,2,0,12729.0,1,1,0,16,5,174.0,6.0,3,0
42.0,4,1,2,0,1045.0,1,0,2,12,6,92.0,1.0,3,0
71.0,5,0,2,0,264.0,0,0,0,12,1,1105.0,2.0,3,0
27.0,1,2,1,0,43.0,1,0,2,9,8,360.0,1.0,3,0
58.0,0,2,1,0,473.0,0,0,0,5,3,179.0,2.0,1,0
55.0,4,2,2,0,1091.0,1,2,0,17,9,165.0,3.0,0,0
39.0,1,0,1,0,194.0,0,0,0,15,8,141.0,1.0,3,0
34.0,4,1,1,0,249.0,0,0,0,25,1,288.0,6.0,3,0
45.0,1,1,1,0,1332.0,1,0,0,25,1,719.0,2.0,3,0
33.0,4,2,1,0,20599.0,0,0,0,20,9,133.0,1.0,3,0
30.0,1,1,1,0,464.0,1,0,2,23,8,62.0,4.0,3,0
43.0,1,1,3,0,86.0,1,0,2,16,8,26.0,1.0,3,0
60.0,5,1,2,0,2508.0,0,0,0,29,5,176.0,4.0,3,0
76.0,5,1,1,0,2656.0,0,0,0,10,9,261.0,5.0,3,1
52.0,1,0,0,0,217.0,1,0,2,4,6,86.0,5.0,3,0
33.0,9,1,1,0,657.0,0,0,0,22,6,118.0,1.0,3,0
33.0,4,0,2,0,293.0,1,0,0,17,5,553.0,5.0,3,1
35.0,4,1,2,1,-1.0,1,2,0,21,9,73.0,1.0,3,0
42.0,1,0,1,0,3259.0,0,0,0,31,5,45.0,6.0,3,0
58.0,1,1,1,0,-42.0,1,0,2,27,8,134.0,2.0,3,0
41.0,0,1,0,0,247.0,1,0,2,14,8,221.0,1.0,3,0
56.0,3,2,1,0,11492.0,0,0,1,4,7,200.0,7.0,3,0
32.0,4,2,2,0,1132.0,1,0,2,20,8,257.0,2.0,3,0
29.0,9,2,2,0,3.0,0,2,1,14,1,232.0,3.0,3,0
34.0,9,0,1,0,3068.0,1,2,0,20,9,371.0,2.0,1,0
25.0,1,2,1,0,156.0,1,0,0,18,8,996.0,2.0,0,0
43.0,1,1,1,0,1144.0,1,0,0,8,3,363.0,2.0,1,1
35.0,0,1,1,0,370.0,0,0,0,29,1,109.0,10.0,3,0
34.0,0,2,2,0,14.0,1,2,0,30,0,370.0,1.0,3,1
33.0,1,2,3,1,-528.0,1,0,2,7,8,151.0,1.0,3,0
29.0,4,2,1,0,204.0,1,0,0,7,8,586.0,1.0,3,0
29.0,10,0,1,0,1147.0,1,0,0,8,8,83.0,2.0,0,0
31.0,4,2,2,0,984.0,1,0,0,25,10,311.0,1.0,2,1
59.0,1,0,1,0,1099.0,1,1,0,15,5,103.0,4.0,3,0
45.0,1,0,3,1,-273.0,1,2,2,23,8,440.0,2.0,3,0
38.0,9,2,1,0,821.0,1,2,0,19,1,77.0,4.0,3,0
30.0,1,1,1,0,635.0,1,0,2,23,8,230.0,4.0,3,0
33.0,4,2,2,0,726.0,0,0,0,27,1,114.0,6.0,3,0
32.0,1,0,0,0,295.0,1,0,2,13,8,928.0,2.0,3,1
40.0,1,1,1,0,-8020.0,1,2,2,20,8,263.0,1.0,3,0
49.0,9,1,1,0,736.0,1,0,0,17,9,90.0,3.0,3,0
62.0,10,1,0,0,27.0,1,0,2,16,8,187.0,6.0,3,0
31.0,0,2,1,0,391.0,1,2,0,31,5,73.0,3.0,3,0
54.0,9,1,1,0,-4.0,0,0,2,20,6,56.0,4.0,3,0
21.0,0,2,1,0,1.0,1,0,2,9,8,125.0,1.0,3,0
42.0,2,1,0,0,61.0,0,0,0,31,5,418.0,2.0,3,0
55.0,1,1,0,0,1941.0,1,0,1,21,9,75.0,3.0,3,0
45.0,4,1,3,0,802.0,1,0,1,25,5,434.0,1.0,3,0
56.0,5,1,0,0,16427.0,0,0,0,14,1,489.0,2.0,3,0
43.0,9,1,1,0,361.0,1,0,0,17,0,205.0,1.0,3,0
55.0,1,1,0,0,3.0,0,0,2,8,8,188.0,2.0,3,0
39.0,4,2,2,0,259.0,1,0,2,5,8,299.0,1.0,3,0
46.0,7,3,1,0,-1622.0,1,2,2,3,6,172.0,5.0,3,0
29.0,9,1,1,0,180.0,0,0,0,17,7,302.0,2.0,3,1
34.0,4,1,2,0,10.0,1,0,0,17,9,515.0,2.0,3,0
28.0,9,2,1,0,239.0,1,0,0,4,8,1108.0,3.0,3,1
33.0,7,2,1,0,418.0,1,0,0,20,0,5.0,5.0,1,0
52.0,1,2,3,0,1785.0,0,0,0,3,3,175.0,2.0,3,0
35.0,1,2,1,0,2960.0,1,2,2,16,6,172.0,2.0,3,0
22.0,8,2,0,0,114.0,1,0,0,18,8,245.0,2.0,3,0
29.0,4,1,2,0,11.0,1,0,0,16,5,617.0,6.0,3,0
30.0,0,2,1,0,-39.0,0,2,0,18,5,83.0,2.0,3,0
36.0,0,2,1,0,2202.0,1,0,2,3,6,364.0,3.0,3,0
48.0,9,1,2,0,266.0,1,0,0,21,9,28.0,1.0,3,0
39.0,1,1,1,0,-2.0,1,0,2,9,6,244.0,1.0,3,0
47.0,3,1,0,0,3.0,0,0,1,9,5,110.0,1.0,3,0
43.0,4,0,3,0,1784.0,0,2,0,21,9,279.0,1.0,3,0
21.0,7,2,1,0,343.0,1,0,2,3,6,162.0,6.0,3,0
37.0,0,2,3,0,33.0,0,0,0,20,0,58.0,3.0,3,0
33.0,9,1,1,0,804.0,0,0,0,19,5,261.0,3.0,2,1
